,Name,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Age
133,Hyundai Elite,Magna Executive 1.2,Manual,15702,1st Owner,Petrol,581799,4
134,Tata TIGOR,XZ 1.2 REVOTRON OPT,Manual,34014,1st Owner,Petrol,534499,4
135,Renault Kwid,RXL,Manual,35525,2nd Owner,Petrol,350499,3
136,Maruti S,VXI AGS,Automatic,244,1st Owner,Petrol,567399,0
137,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,4708,1st Owner,Petrol,1133599,1
138,Maruti Baleno,DELTA 1.2 K12,Manual,4260,1st Owner,Petrol,725599,2
139,Hyundai Creta,1.6 VTVT SX AUTO,Automatic,26097,2nd Owner,Petrol,1353699,3
140,Hyundai i20,SPORTZ 1.4 CRDI,Manual,65005,1st Owner,Diesel,336499,9
141,Honda WR-V,1.2 i-VTEC VX MT,Manual,51606,2nd Owner,Petrol,715999,5
142,Tata ALTROZ,XZ 1.2,Manual,13937,1st Owner,Petrol,827999,2
143,Honda Amaze,1.2 SAT I VTEC,Automatic,48381,2nd Owner,Petrol,538599,6
144,Toyota YARIS,G CVT,Automatic,44823,1st Owner,Petrol,979299,2
145,Honda Amaze,1.2 VXMT I VTEC,Manual,3031,1st Owner,Petrol,945599,0
146,Maruti Swift,VXI,Manual,11917,1st Owner,Petrol,560599,4
147,Mahindra XUV500,W9 AT,Automatic,20809,1st Owner,Diesel,1883699,1
148,Maruti Baleno,DELTA 1.2 K12,Manual,36411,1st Owner,Petrol,711199,2
149,Renault Kwid,RXL,Manual,5660,1st Owner,Petrol,404099,3
150,Honda City,V MT PETROL,Manual,91673,2nd Owner,Petrol,557699,8
152,Hyundai Elite,ASTA 1.2 (O),Manual,87715,1st Owner,Petrol,674299,4
153,Tata Harrier,XZA  DUAL TONE,Automatic,16826,1st Owner,Diesel,2086999,1
154,Hyundai New,1.6 SX AT O,Automatic,11784,1st Owner,Diesel,1447599,3
155,Maruti Baleno,SIGMA 1.2 K12,Manual,23514,1st Owner,Petrol,523999,5
156,Tata TIGOR,XZ PLUS 1.2 REVOTRON,Manual,7089,1st Owner,Petrol,814799,1
157,Honda City,V MT PETROL,Manual,38050,1st Owner,Petrol,912699,3
158,Maruti Swift,LXI OPT,Manual,37931,2nd Owner,Petrol,421999,7
159,Datsun Redi,T (O),Manual,7323,1st Owner,Petrol,457499,1
160,Honda Jazz,VX 1.2 CVT,Automatic,7460,1st Owner,Petrol,953799,1
161,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,46106,1st Owner,Petrol,482799,6
162,Toyota Corolla,G AT,Automatic,75422,1st Owner,Petrol,1389899,5
163,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,65162,1st Owner,Petrol + CNG,460699,5
164,Maruti Alto,VXI,Manual,87463,1st Owner,Petrol,218899,10
165,Volkswagen Polo,COMFORTLINE 1.2L PETROL,Manual,86070,1st Owner,Petrol,434999,7
166,Honda Jazz,ZX CVT,Automatic,9871,1st Owner,Petrol,1000099,2
167,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,62740,2nd Owner,Petrol,427799,6
168,Hyundai Creta,1.5 SX (O) AT,Automatic,31437,1st Owner,Petrol,1766599,2
169,Hyundai Creta,1.4 S CRDI,Manual,71968,1st Owner,Diesel,957899,3
170,Maruti Baleno,DELTA 1.2 K12,Manual,24767,1st Owner,Petrol,648799,3
171,Hyundai Elite,1.2 SPORTS PLUS VTVT,Manual,30078,1st Owner,Petrol,707299,3
173,Honda Jazz,1.2 S MT,Manual,50506,2nd Owner,Petrol,543799,4
174,Maruti Baleno,DELTA 1.2 K12,Manual,26288,1st Owner,Petrol,655499,3
175,Renault Kwid,RXT,Manual,25910,2nd Owner,Petrol,342799,5
176,Hyundai VENUE,1.0 TURBO GDI SX+ AT,Automatic,57770,1st Owner,Petrol,1039999,3
177,Maruti Vitara,ZXI +,Manual,22317,1st Owner,Petrol,982499,1
178,Maruti Dzire,VXI,Manual,14400,1st Owner,Petrol,741999,1
179,Maruti Wagon,LXI CNG,Manual,64132,1st Owner,Petrol + CNG,325799,8
180,Hyundai Creta,1.6 VTVT SX AUTO,Automatic,29081,1st Owner,Petrol,1407599,2
181,Maruti New,ZXI 1.2,Manual,23797,1st Owner,Petrol,608599,2
182,Maruti Baleno,DELTA 1.2 K12,Manual,26445,1st Owner,Petrol,604899,4
183,MG HECTOR,SHARP 2.0 DIESEL,Manual,50353,1st Owner,Diesel,1518299,3
184,Maruti Celerio,ZXI AMT,Automatic,32649,1st Owner,Petrol,435599,6
185,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,37953,2nd Owner,Petrol,521999,3
186,Mahindra Thar,LX D 4*4 MT HT,Manual,6962,1st Owner,Diesel,1702699,1
187,Maruti Celerio,ZXI OPT AMT,Automatic,81353,1st Owner,Petrol,422099,5
188,Tata ALTROZ,XZ 1.2,Manual,37413,1st Owner,Petrol,795399,2
189,MG HECTOR,SUPER DIESEL,Manual,52465,2nd Owner,Diesel,1391599,3
190,Honda Amaze,1.2 V CVT I VTEC,Automatic,23495,1st Owner,Petrol,773999,4
191,Honda City,V MT PETROL,Manual,24280,1st Owner,Petrol,1076199,2
192,Hyundai Creta,S PETROL MT,Manual,7757,1st Owner,Petrol,1328499,2
193,Maruti Baleno,DELTA 1.2 K12,Manual,25647,1st Owner,Petrol,675199,3
194,Maruti Celerio,VXI,Manual,12407,1st Owner,Petrol,466049,4
195,Honda Amaze,1.2 VXMT I VTEC,Manual,1546,1st Owner,Petrol,720399,4
196,Maruti Baleno,ZETA 1.2 K12,Manual,22535,1st Owner,Petrol,574899,6
197,Skoda Rapid,1.0 AMBITION TSI AT,Automatic,16292,2nd Owner,Petrol,1167399,2
198,Maruti Baleno,DELTA 1.2 K12,Manual,16402,1st Owner,Petrol,676399,3
199,Maruti Baleno,DELTA 1.2 K12,Manual,24453,2nd Owner,Petrol,659099,3
200,Volkswagen TIGUAN,HIGHLINE A/T,Automatic,74860,1st Owner,Diesel,2139099,4
201,Maruti Celerio,VXI,Manual,27718,1st Owner,Petrol,470699,3
202,Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,53365,1st Owner,Petrol,705499,3
203,Maruti Baleno,DELTA 1.2 K12,Manual,29383,1st Owner,Petrol,660999,3
204,Maruti Alto,VXI (O) AMT,Automatic,13002,2nd Owner,Petrol,407299,4
205,Maruti Alto,LXI CNG,Manual,23812,1st Owner,Petrol + CNG,510799,1
