Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2021 Hyundai NEW I20,ASTA (O) 1.5 CRDI MT ,,"27,082 km",1st Owner,Diesel,"?11,38,899",,,,,,
2018 Hyundai Elite i20,ASTA 1.2 (O) Manual,Manual,"87,715 km",1st Owner,Petrol,"?6,74,299",,,,,,
2021 Tata Harrier,XZA  DUAL TONE Automatic,Automatic,"16,826 km",1st Owner,Diesel,"?20,86,999",,,,,,
2019 Hyundai New Elantra,1.6 SX AT O Automatic,Automatic,"11,784 km",1st Owner,Diesel,"?14,47,599",,,,,,
2017 Maruti Baleno,SIGMA 1.2 K12 Manual,Manual,"23,514 km",1st Owner,Petrol,"?5,23,999",,,,,,
2021 Tata TIGOR,XZ PLUS 1.2 REVOTRON Manual,Manual,"7,089 km",1st Owner,Petrol,"?8,14,799",,,,,,
2019 Honda City,V MT PETROL Manual,Manual,"38,050 km",1st Owner,Petrol,"?9,12,699",,,,,,
2015 Maruti Swift,LXI OPT Manual,Manual,"37,931 km",2nd Owner,Petrol,"?4,21,999",,,,,,
2021 Datsun Redi Go,T (O) Manual,Manual,"7,323 km",1st Owner,Petrol,"?4,57,499",,,,,,
2021 Honda Jazz,VX 1.2 CVT Automatic,Automatic,"7,460 km",1st Owner,Petrol,"?9,53,799",,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"46,106 km",1st Owner,Petrol,"?4,82,799",,,,,,
2017 Toyota Corolla Altis,G AT Automatic,Automatic,"75,422 km",1st Owner,Petrol,"?13,89,899",,,,,,
2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"65,162 km",1st Owner,Petrol + CNG,"?4,60,699",,,,,,
2012 Maruti Alto K10,VXI Manual,Manual,"87,463 km",1st Owner,Petrol,"?2,18,899",,,,,,
2015 Volkswagen Polo,COMFORTLINE 1.2L PETROL Manual,Manual,"86,070 km",1st Owner,Petrol,"?4,34,999",,,,,,
2020 Honda Jazz,ZX CVT Automatic,Automatic,"9,871 km",1st Owner,Petrol,"?10,00,099",,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"62,740 km",2nd Owner,Petrol,"?4,27,799",,,,,,
2020 Hyundai Creta,1.5 SX (O) AT Automatic,Automatic,"31,437 km",1st Owner,Petrol,"?17,66,599",,,,,,
2019 Hyundai Creta,1.4 S CRDI Manual,Manual,"71,968 km",1st Owner,Diesel,"?9,57,899",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"24,767 km",1st Owner,Petrol,"?6,48,799",,,,,,
2019 Hyundai Elite i20,1.2 SPORTS PLUS VTVT Manual,Manual,"30,078 km",1st Owner,Petrol,"?7,07,299",,,,,,
2021 Tata ALTROZ,XT 1.2 ,,"13,351 km",1st Owner,Petrol,"?7,73,599",,,,,,
2018 Honda Jazz,1.2 S MT Manual,Manual,"50,506 km",2nd Owner,Petrol,"?5,43,799",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"26,288 km",1st Owner,Petrol,"?6,55,499",,,,,,
2017 Renault Kwid,RXT Manual,Manual,"25,910 km",2nd Owner,Petrol,"?3,42,799",,,,,,
2019 Hyundai VENUE,1.0 TURBO GDI SX+ AT Automatic,Automatic,"57,770 km",1st Owner,Petrol,"?10,39,999",,,,,,
2021 Maruti Vitara Brezza,ZXI + Manual,Manual,"22,317 km",1st Owner,Petrol,"?9,82,499",,,,,,
2021 Maruti Dzire,VXI Manual,Manual,"14,400 km",1st Owner,Petrol,"?7,41,999",,,,,,
2014 Maruti Wagon R 1.0,LXI CNG Manual,Manual,"64,132 km",1st Owner,Petrol + CNG,"?3,25,799",,,,,,
2020 Hyundai Creta,1.6 VTVT SX AUTO Automatic,Automatic,"29,081 km",1st Owner,Petrol,"?14,07,599",,,,,,
2020 Maruti New  Wagon-R,ZXI 1.2 Manual,Manual,"23,797 km",1st Owner,Petrol,"?6,08,599",,,,,,
2018 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"26,445 km",1st Owner,Petrol,"?6,04,899",,,,,,
2019 MG HECTOR,SHARP 2.0 DIESEL Manual,Manual,"50,353 km",1st Owner,Diesel,"?15,18,299",,,,,,
2016 Maruti Celerio,ZXI AMT Automatic,Automatic,"32,649 km",1st Owner,Petrol,"?4,35,599",,,,,,
2019 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"37,953 km",2nd Owner,Petrol,"?5,21,999",,,,,,
2021 Mahindra Thar,LX D 4*4 MT HT Manual,Manual,"6,962 km",1st Owner,Diesel,"?17,02,699",,,,,,
2017 Maruti Celerio,ZXI OPT AMT Automatic,Automatic,"81,353 km",1st Owner,Petrol,"?4,22,099",,,,,,
2020 Tata ALTROZ,XZ 1.2 Manual,Manual,"37,413 km",1st Owner,Petrol,"?7,95,399",,,,,,
2019 MG HECTOR,SUPER DIESEL Manual,Manual,"52,465 km",2nd Owner,Diesel,"?13,91,599",,,,,,
2018 Honda Amaze,1.2 V CVT I VTEC Automatic,Automatic,"23,495 km",1st Owner,Petrol,"?7,73,999",,,,,,
2020 Honda City,V MT PETROL Manual,Manual,"24,280 km",1st Owner,Petrol,"?10,76,199",,,,,,
2020 Hyundai Creta,S PETROL MT Manual,Manual,"7,757 km",1st Owner,Petrol,"?13,28,499",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"25,647 km",1st Owner,Petrol,"?6,75,199",,,,,,
2018 Maruti Celerio,VXI Manual,Manual,"12,407 km",1st Owner,Petrol,"?4,66,049",,,,,,
2018 Honda Amaze,1.2 VXMT I VTEC Manual,Manual,"1,546 km",1st Owner,Petrol,"?7,20,399",,,,,,
2016 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"22,535 km",1st Owner,Petrol,"?5,74,899",,,,,,
2020 Skoda Rapid,1.0 AMBITION TSI AT Automatic,Automatic,"16,292 km",2nd Owner,Petrol,"?11,67,399",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"16,402 km",1st Owner,Petrol,"?6,76,399",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"24,453 km",2nd Owner,Petrol,"?6,59,099",,,,,,
2018 Volkswagen TIGUAN,HIGHLINE A/T Automatic,Automatic,"74,860 km",1st Owner,Diesel,"?21,39,099",,,,,,
2019 Maruti Celerio,VXI Manual,Manual,"27,718 km",1st Owner,Petrol,"?4,70,699",,,,,,
2019 Volkswagen Polo,GT TSI 1.2 PETROL AT Automatic,Automatic,"53,365 km",1st Owner,Petrol,"?7,05,499",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"29,383 km",1st Owner,Petrol,"?6,60,999",,,,,,
2018 Maruti Alto K10,VXI (O) AMT Automatic,Automatic,"13,002 km",2nd Owner,Petrol,"?4,07,299",,,,,,
2021 Maruti Alto,LXI CNG Manual,Manual,"23,812 km",1st Owner,Petrol + CNG,"?5,10,799",,,,,,
