Title,primefeatures,Price
Hyundai Santro 1.1 SPORTS AMT - 2019,"42,000 kms / Petrol","₹5,50,000 "
Hyundai Eon Era - 2012,"60,000 kms / Petrol","₹2,00,000 "
Maruti Suzuki Swift LXi - 2007,"75,000 kms / Petrol","₹1,40,000 "
Hyundai Accent GLE - 2009,"65,000 kms / Petrol","₹1,55,000 "
Honda City ZX - 2005,"79,000 kms / Petrol / 3rd Owner","₹1,30,000 "
Maruti Suzuki Gypsy King ST BS IV - 2017,"33,000 kms / Petrol / 2nd Owner","₹11,00,000 "
Toyota Innova 2.5 GX BS III 7 STR - 2009,"1,80,000 kms / Diesel / 2nd Owner","₹6,00,000 "
Honda City - 2011,"70,000 kms / Petrol / 2nd Owner","₹3,20,000 "
Audi Q5 3.0 TDI quattro - 2015,"1,59,800 kms / Diesel","₹21,00,000 "
Hyundai Grand i10 SPORTZ O 1.2 - 2019,"17,000 kms / Petrol","₹4,99,000 "
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT OPT - 2016,"47,000 kms / Petrol","₹4,45,000 "
Honda Brio S MT - 2012,"56,000 kms / Petrol","₹2,75,000 "
Hyundai Grand i10 Sportz 1.1 CRDi - 2014,"65,000 kms / Diesel","₹3,99,000 "
Maruti Suzuki Wagon R VXI BS IV with ABS - 2012,"66,000 kms / Petrol","₹2,55,000 "
Maruti Suzuki Swift VDI OPT - 2016,"44,000 kms / Diesel","₹5,50,000 "
Maruti Suzuki Swift VXi 1.2 BS IV - 2010,"69,000 kms / Petrol","₹2,25,000 "
Maruti Suzuki Swift VDI OPT - 2012,"68,000 kms / Diesel","₹3,45,000 "
Maruti Suzuki Wagon R VXI BS IV with ABS - 2014,"46,000 kms / Petrol","₹3,25,000 "
Maruti Suzuki Swift VXi 1.2 ABS BS IV - 2016,"44,000 kms / CNG","₹4,75,000 "
Mahindra Bolero SLE BS IV - 2013,"73,500 kms / Diesel","₹4,10,000 "
Mahindra Thar CRDe 4x4 AC - 2016,"45,000 kms / Diesel","₹7,50,000 "
Mahindra XUV 500 W8 - 2013,"1,16,000 kms / Diesel","₹5,50,000 "
Hyundai Elite i20 Asta 1.4 CRDI - 2013,"63,000 kms / Diesel","₹3,75,000 "
Maruti Suzuki XL6 ALPHA SHVS MT - 2021,"11,000 kms / Petrol","₹10,50,000 "
Hyundai i10 Sportz 1.2 Kappa2 O - 2017,"19,000 kms / Petrol","₹4,90,000 "
Honda Amaze 1.2 SMT I VTEC - 2014,"46,000 kms / Petrol","₹3,99,000 "
Toyota Corolla Altis Diesel D4DG - 2012,"64,000 kms / Diesel","₹4,75,000 "
Maruti Suzuki Dzire VDI AMT - 2016,"40,100 kms / Diesel",Ask For Price
Mahindra Jeep Classic - 2022,12 kms / Diesel,"₹4,38,000 "
BMW 5 Series 520d Luxury Line - 2017,"65,000 kms / Diesel","₹32,50,000 "
Skoda Rapid Style 1.5 TDI AT - 2020,"55,000 kms / Diesel","₹11,75,000 "
Mercedes Benz CLA Class 200 CDI Sport - 2018,"35,000 kms / Diesel","₹35,00,000 "
Mercedes Benz S Class 350 L - 2015,"65,000 kms / Diesel","₹50,00,000 "
Mercedes Benz E Class E220 CDI Blue Efficiency - 2018,"37,000 kms / Diesel","₹46,00,000 "
Mercedes Benz E Class E 350 d - 2021,"7,000 kms / Diesel","₹1,00,00,000 "
Mahindra Thar DI 4WD - 2021,"8,000 kms / Petrol","₹17,50,000 "
Maruti Suzuki Ertiga VDI Limited Edition - 2012,"70,000 kms / Diesel","₹1,60,000 "
BMW X1 sDrive20d - 2012,"38,000 kms / Diesel","₹12,75,000 "
Mercedes Benz C Class 220 CDI AT - 2011,"45,000 kms / Diesel","₹14,00,000 "
Maruti Suzuki Gypsy King Soft Top - 2022,12 kms / Petrol,"₹5,93,000 "
Mahindra Jeep Classic - 2022,12 kms / Diesel,"₹4,32,000 "
BMW X1 sDrive20d - 2011,"73,000 kms / Diesel","₹12,75,000 "
Skoda Kodiaq - 2018,"90,000 kms / Diesel","₹24,50,000 "
Land Rover Range Rover 4.4 SDV8 Vogue SE - 2011,"66,000 kms / Diesel","₹40,00,000 "
Maruti Suzuki Eeco 5 STR - 2012,"84,340 kms / Petrol","₹2,95,000 "
Honda City 1.5 E MT - 2003,"1,20,000 kms / Petrol / 2nd Owner","₹3,20,000 "
Maruti Suzuki Baleno Alpha 1.3 - 2016,"39,000 kms / Diesel","₹7,65,000 "
Tata Indigo CS LX TDI - 2009,"88,000 kms / Diesel","₹1,58,000 "
Maruti Suzuki Swift VXI BSIII - 2007,"1,16,000 kms / Petrol","₹2,15,000 "
Ford Figo Diesel ZXI - 2012,"87,000 kms / Diesel / 2nd Owner","₹2,50,000 "
Volkswagen Polo HIGHLINE1.5L DIESEL - 2016,"58,800 kms / Diesel","₹7,20,000 "
BMW 3 Series 320D SPORTLINE - 2015,"64,000 kms / Diesel / 2nd Owner","₹19,50,000 "
Maruti Suzuki Alto LXi BS III - 2004,"69,000 kms / Petrol","₹1,35,000 "
BMW 5 Series 520d Luxury Line - 2009,"97,000 kms / Diesel","₹12,50,000 "
BMW 5 Series 520d Luxury Line - 2021,"8,000 kms / Diesel","₹68,00,000 "
Hyundai i10 Sportz 1.1 iRDE2 - 2015,"15,189 kms / Petrol","₹4,45,000 "
Mahindra XUV 500 W8 - 2014,"94,000 kms / Diesel","₹9,50,000 "
Land Rover Range Rover 5.0 Supercharged V8 Petrol - 2010,"49,000 kms / Petrol","₹47,50,000 "
